Measure,Time,Ethnicity,Ethnicity_type,Geography_name,Geography_code,Geography_type,Value,Numerator,Denominator
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,City of London,E09000001,Local Authority,0.01,3,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,City of London,E09000001,Local Authority,0.06,1373,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,City of London,E09000001,Local Authority,0.03,69,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,City of London,E09000001,Local Authority,0.03,85,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,City of London,E09000001,Local Authority,0.02,940,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,City of London,E09000001,Local Authority,0.01,193,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,City of London,E09000001,Local Authority,0.02,289,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,City of London,E09000001,Local Authority,0.01,5799,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,City of London,E09000001,Local Authority,0.03,154,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,4,7436,185911
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,4.31,8007,185911
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,4.14,7701,185911
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.71,1315,185911
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,2.76,5135,185911
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,15.43,28685,185911
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,2.81,5227,185911
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,1.74,3228,185911
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,1.44,2669,185911
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,1.14,2128,185911
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.67,1246,185911
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.99,1835,185911
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,49.46,91949,185911
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.93,1730,185911
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.1,182,185911
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,7.81,14525,185911
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.52,973,185911
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,1.04,1940,185911
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,15.92,29594,185911
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,19.98,37140,185911
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,4.24,7878,185911
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,58.3,108386,185911
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,1.57,2913,185911
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.53,7436,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.71,8007,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,1.72,7701,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.33,1315,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.61,5135,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,2.9,28685,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.88,5227,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,1.15,3228,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.63,2669,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,1.28,2128,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.36,1246,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.63,1835,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.2,91949,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.33,1730,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.32,182,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.58,14525,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.42,973,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Barking and Dagenham,E09000002,Local Authority,0.58,1940,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,0.7,29594,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,1.99,37140,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,0.64,7878,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,0.22,108386,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Barking and Dagenham,E09000002,Local Authority,0.52,2913,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Barnet,E09000003,Local Authority,7.83,27920,356386
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.5,5344,356386
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.62,2215,356386
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Barnet,E09000003,Local Authority,2.32,8259,356386
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,6.22,22180,356386
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Barnet,E09000003,Local Authority,5.44,19392,356386
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.25,4468,356386
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,1,3571,356386
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.87,3097,356386
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.87,3112,356386
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.65,5882,356386
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.42,5078,356386
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Barnet,E09000003,Local Authority,45.49,162117,356386
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Barnet,E09000003,Local Authority,2.44,8685,356386
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.04,151,356386
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,16.16,57600,356386
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.46,5210,356386
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Barnet,E09000003,Local Authority,3.4,12105,356386
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Barnet,E09000003,Local Authority,18.5,65918,356386
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Barnet,E09000003,Local Authority,7.7,27431,356386
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Barnet,E09000003,Local Authority,4.82,17169,356386
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Barnet,E09000003,Local Authority,64.13,228553,356386
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Barnet,E09000003,Local Authority,4.86,17315,356386
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.98,27920,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.48,5344,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.5,2215,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Barnet,E09000003,Local Authority,2.1,8259,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,2.65,22180,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.96,19392,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.75,4468,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.27,3571,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.73,3097,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.87,3112,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.72,5882,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.75,5078,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.36,162117,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Barnet,E09000003,Local Authority,1.64,8685,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Barnet,E09000003,Local Authority,0.26,151,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Barnet,E09000003,Local Authority,2.32,57600,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Barnet,E09000003,Local Authority,2.26,5210,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Barnet,E09000003,Local Authority,3.63,12105,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Barnet,E09000003,Local Authority,1.56,65918,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Barnet,E09000003,Local Authority,1.47,27431,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Barnet,E09000003,Local Authority,1.4,17169,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Barnet,E09000003,Local Authority,0.47,228553,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Barnet,E09000003,Local Authority,3.07,17315,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Bexley,E09000004,Local Authority,3.04,7047,231997
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.31,730,231997
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.33,777,231997
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Bexley,E09000004,Local Authority,1.08,2514,231997
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,1.8,4175,231997
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Bexley,E09000004,Local Authority,6.88,15952,231997
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Bexley,E09000004,Local Authority,1.03,2381,231997
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.56,1291,231997
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.72,1676,231997
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.42,983,231997
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.59,1369,231997
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.59,1367,231997
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Bexley,E09000004,Local Authority,77.26,179250,231997
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Bexley,E09000004,Local Authority,1.12,2596,231997
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.27,624,231997
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,3.23,7492,231997
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.13,303,231997
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.63,1470,231997
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Bexley,E09000004,Local Authority,6.57,15243,231997
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Bexley,E09000004,Local Authority,8.46,19624,231997
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Bexley,E09000004,Local Authority,2.33,5395,231997
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Bexley,E09000004,Local Authority,81.88,189962,231997
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Bexley,E09000004,Local Authority,0.76,1773,231997
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.5,7047,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.06,730,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.17,777,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.64,2514,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.5,4175,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Bexley,E09000004,Local Authority,1.61,15952,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.4,2381,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.46,1291,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.39,1676,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.59,983,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.4,1369,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.47,1367,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.4,179250,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.49,2596,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Bexley,E09000004,Local Authority,1.08,624,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.3,7492,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.13,303,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Bexley,E09000004,Local Authority,0.44,1470,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Bexley,E09000004,Local Authority,0.36,15243,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Bexley,E09000004,Local Authority,1.05,19624,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Bexley,E09000004,Local Authority,0.44,5395,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Bexley,E09000004,Local Authority,0.39,189962,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Bexley,E09000004,Local Authority,0.31,1773,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Brent,E09000005,Local Authority,18.64,58017,311215
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Brent,E09000005,Local Authority,4.62,14381,311215
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Brent,E09000005,Local Authority,0.56,1749,311215
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Brent,E09000005,Local Authority,1.04,3250,311215
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Brent,E09000005,Local Authority,9.19,28589,311215
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Brent,E09000005,Local Authority,7.84,24391,311215
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Brent,E09000005,Local Authority,7.62,23723,311215
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Brent,E09000005,Local Authority,3.38,10518,311215
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Brent,E09000005,Local Authority,1.38,4291,311215
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Brent,E09000005,Local Authority,0.91,2820,311215
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Brent,E09000005,Local Authority,1.17,3642,311215
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Brent,E09000005,Local Authority,1.61,5022,311215
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Brent,E09000005,Local Authority,17.96,55887,311215
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Brent,E09000005,Local Authority,3.96,12320,311215
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Brent,E09000005,Local Authority,0.1,320,311215
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Brent,E09000005,Local Authority,14.25,44353,311215
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Brent,E09000005,Local Authority,3.67,11430,311215
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Brent,E09000005,Local Authority,2.09,6512,311215
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Brent,E09000005,Local Authority,34.06,105986,311215
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Brent,E09000005,Local Authority,18.84,58632,311215
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Brent,E09000005,Local Authority,5.07,15775,311215
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Brent,E09000005,Local Authority,36.27,112880,311215
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Brent,E09000005,Local Authority,5.77,17942,311215
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Brent,E09000005,Local Authority,4.11,58017,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Brent,E09000005,Local Authority,1.28,14381,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Brent,E09000005,Local Authority,0.39,1749,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Brent,E09000005,Local Authority,0.83,3250,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Brent,E09000005,Local Authority,3.42,28589,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Brent,E09000005,Local Authority,2.46,24391,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Brent,E09000005,Local Authority,3.99,23723,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Brent,E09000005,Local Authority,3.75,10518,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Brent,E09000005,Local Authority,1.01,4291,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Brent,E09000005,Local Authority,1.7,2820,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Brent,E09000005,Local Authority,1.07,3642,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Brent,E09000005,Local Authority,1.73,5022,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Brent,E09000005,Local Authority,0.12,55887,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Brent,E09000005,Local Authority,2.32,12320,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Brent,E09000005,Local Authority,0.55,320,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Brent,E09000005,Local Authority,1.78,44353,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Brent,E09000005,Local Authority,4.96,11430,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Brent,E09000005,Local Authority,1.95,6512,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Brent,E09000005,Local Authority,2.52,105986,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Brent,E09000005,Local Authority,3.14,58632,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Brent,E09000005,Local Authority,1.29,15775,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Brent,E09000005,Local Authority,0.23,112880,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Brent,E09000005,Local Authority,3.18,17942,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Bromley,E09000006,Local Authority,2.01,6215,309392
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Bromley,E09000006,Local Authority,0.33,1014,309392
